adname,cityname,location,name,type
海淀区,北京市,116.359019#40.00583,中国农业大学东校区篮球场,体育休闲服务;运动场馆;篮球场馆
海淀区,北京市,116.361784#39.953058,中国福利彩票,生活服务;彩票彩券销售点;彩票彩券销售点
海淀区,北京市,116.257699#39.970728,北京瑞杰风行汽车服务公司,汽车维修;汽车维修;汽车维修
海淀区,北京市,116.295729#39.995209,海淀区无煤化领导小组办公室工程管理部,政府机构及社会团体;政府机关;区县级政府及事业单位
海淀区,北京市,116.298741#39.968339,万泉庄路,地名地址信息;交通地名;道路名
海淀区,北京市,116.2886#39.9166,万寿路15号院3区1号楼,地名地址信息;门牌信息;楼栋号
海淀区,北京市,116.291944#39.936867,我爱我家(彰化南路店),生活服务;中介机构;中介机构
海淀区,北京市,116.095256#40.103792,凤凰岭森林派出所,政府机构及社会团体;公检法机构;公安警察
海淀区,北京市,116.354714#39.956233,网上游,体育休闲服务;娱乐场所;网吧
海淀区,北京市,116.361273#39.956122,美发,生活服务;美容美发店;美容美发店
海淀区,北京市,116.252267#40.049433,湖南味道(西北旺四街),餐饮服务;中餐厅;湖南菜(湘菜)
海淀区,北京市,116.253326#39.898239,中国工商银行24小时自助银行(玉泉路),金融保险服务;自动提款机;中国工商银行ATM
海淀区,北京市,116.332355#40.042157,爱宠岛宠物用品批发,购物服务;专卖店;宠物用品店
海淀区,北京市,116.320269#39.981033,科春社区(南4门),通行设施;临街院门;临街院门
海淀区,北京市,116.267463#40.048192,北京市公安局海淀分局西北旺南社区警务团队工作室,政府机构及社会团体;政府机关;政府机关相关
海淀区,北京市,116.259739#39.926282,德邦(双槐树路),生活服务;物流速递;物流速递
海淀区,北京市,116.327265#39.987436,中关村街道科汇社区党(委)支部,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位
海淀区,北京市,116.258718#39.955656,公共厕所,公共设施;公共厕所;公共厕所
海淀区,北京市,116.257614#39.973942,麦当劳(闵庄路店)-洗手间,公共设施;公共厕所;公共厕所
海淀区,北京市,116.298738#39.910575,机械工业电线电缆专用测试设备检测中心(北京),政府机构及社会团体;公检法机构;公证鉴定机构
海淀区,北京市,116.36838#39.951073,京利源金属门窗,购物服务;家居建材市场;建材五金市场
海淀区,北京市,116.314177#39.907106,畅听自然助听器(公主坟店),医疗保健服务;医药保健销售店;医疗保健用品
海淀区,北京市,116.326019#39.966738,赛斯特(双安商场),购物服务;服装鞋帽皮具店;品牌服装店
海淀区,北京市,116.343135#39.969275,加西亚瓷砖(蓝景丽家大钟寺家居广场),购物服务;家居建材市场;建材五金市场
海淀区,北京市,116.330589#40.055958,裂帛,购物服务;服装鞋帽皮具店;品牌服装店
海淀区,北京市,116.348611#39.953654,北京交通大学学苑学生公寓(东南门),通行设施;临街院门;临街院正门
海淀区,北京市,116.375008#39.982192,北京辰茂鸿翔酒店(南1门),通行设施;临街院门;临街院门
海淀区,北京市,116.286354#39.95856,孔乙己小馆(金源店),餐饮服务;中餐厅;中餐厅
海淀区,北京市,116.277678#39.906855,女卫生间(解放军总医院301医院门诊楼),公共设施;公共厕所;女洗手间
海淀区,北京市,116.281124#39.90185,社区便民水果店,购物服务;综合市场;果品市场
海淀区,北京市,116.306674#40.037997,北京四方继保自动化股份有限公司(上地四街),公司企业;公司;公司
海淀区,北京市,116.308057#39.965961,青芒果公寓,住宿服务;宾馆酒店;宾馆酒店
海淀区,北京市,116.324175#40.050192,卫生间(蓝岛金隅百货),公共设施;公共厕所;公共厕所
海淀区,北京市,116.351816#39.976248,畅神爽心(北门),通行设施;临街院门;临街院门
海淀区,北京市,116.353763#40.001499,五道口服装市场(清华东路),购物服务;服装鞋帽皮具店;服装鞋帽皮具店
海淀区,北京市,116.264626#39.931188,北京市公安局海淀分局田村派出所半壁店第一社区警务工作室,政府机构及社会团体;公检法机构;公检法机关
海淀区,北京市,116.294932#39.973264,E·LANDKIDS(北京华联万柳购物中心),购物服务;专卖店;儿童用品店
海淀区,北京市,116.349329#39.974575,锦秋家园,商务住宅;住宅区;住宅小区
海淀区,北京市,116.351972#40.006711,自然美(学清路店),生活服务;美容美发店;美容美发店
海淀区,北京市,116.283333#39.901047,西翠路口北(公交站),交通设施服务;公交车站;公交车站相关
