Unnamed: 0,adname,cityname,location,name,type
0,历下区,济南市,117.07695#36.654434,男卫生间(银座商城),公共设施;公共厕所;男洗手间
1,历下区,济南市,117.090791#36.652412,名士豪庭23号楼,地名地址信息;门牌信息;楼栋号
2,历下区,济南市,117.137963#36.678803,山东省生物药物研究院,科教文化服务;科研机构;科研机构
3,历下区,济南市,117.0557#36.668066,华强电子世界停车场,交通设施服务;停车场;公共停车场
4,历下区,济南市,117.095269#36.663003,清苑宾馆(解放东路),住宿服务;宾馆酒店;宾馆酒店
5,历下区,济南市,117.032493#36.659867,新华三集团山东代表处,公司企业;公司企业;公司企业
6,历下区,济南市,117.037607#36.667558,回收老酒礼品,生活服务;生活服务场所;生活服务场所
7,历下区,济南市,117.136482#36.66877,小野人紫菜包饭,餐饮服务;外国餐厅;外国餐厅
8,历下区,济南市,117.024702#36.657027,多彩印务(三合街),生活服务;生活服务场所;生活服务场所
10,历下区,济南市,117.109875#36.691598,大院烧烤广场,餐饮服务;中餐厅;特色/地方风味餐厅
11,历下区,济南市,117.077201#36.643131,老式烘焙,餐饮服务;糕饼店;糕饼店
12,历下区,济南市,117.037471#36.672124,加工棉被,生活服务;生活服务场所;生活服务场所
13,历下区,济南市,117.031672#36.670645,凯宇推拿,生活服务;洗浴推拿场所;洗浴推拿场所
14,历下区,济南市,117.127803#36.684633,安利专卖店,购物服务;购物相关场所;购物相关场所
15,历下区,济南市,117.05153#36.679248,星期八网络宾馆,住宿服务;宾馆酒店;宾馆酒店
16,历下区,济南市,117.085089#36.648073,学大教育,科教文化服务;培训机构;培训机构
17,历下区,济南市,117.034211#36.654808,谭木匠(文化西路),购物服务;专卖店;专营店
18,历下区,济南市,117.056127#36.668652,格林豪泰酒店山大路店停车场(出入口),交通设施服务;停车场;停车场出入口
19,历下区,济南市,117.065156#36.658242,兴盛果品,购物服务;便民商店/便利店;便民商店/便利店
20,历下区,济南市,117.042646#36.677271,青岛外贸(东关大街),购物服务;服装鞋帽皮具店;服装鞋帽皮具店
21,历下区,济南市,117.036083#36.680963,泺河中路,地名地址信息;交通地名;道路名
22,历下区,济南市,117.023858#36.649483,省广电厅单位宿舍地下停车场(出入口),交通设施服务;停车场;停车场出入口
23,历下区,济南市,117.039583#36.676762,长盛小区北区32号楼,地名地址信息;门牌信息;楼栋号
24,历下区,济南市,117.139783#36.704892,北控水务集团,公司企业;公司;公司
25,历下区,济南市,117.045536#36.67554,山东省济南医院停车场(出入口),交通设施服务;停车场;停车场出入口
26,历下区,济南市,117.046268#36.636094,山东太航建筑设计有限公司,公司企业;公司;公司
27,历下区,济南市,117.031867#36.665121,EA·LEAD(世茂国际广场东座),购物服务;服装鞋帽皮具店;服装鞋帽皮具店|购物服务;个人用品/化妆品店;其它个人用品店
28,历下区,济南市,117.045912#36.679331,一九烧烤.诚,餐饮服务;中餐厅;特色/地方风味餐厅
29,历下区,济南市,117.044564#36.662989,佳乐家超市,购物服务;便民商店/便利店;便民商店/便利店
30,历下区,济南市,117.029311#36.658111,银都停车场(出入口),交通设施服务;停车场;停车场出入口
31,历下区,济南市,117.045734#36.661294,济南诚基中心精品公寓和平路分店,住宿服务;住宿服务相关;住宿服务相关
32,历下区,济南市,117.131121#36.668479,黄金时代2区12号楼,地名地址信息;门牌信息;楼栋号
33,历下区,济南市,117.044762#36.661155,天阶泓都国际售楼中心,生活服务;生活服务场所;生活服务场所
34,历下区,济南市,117.088373#36.659884,保健拔罐,生活服务;洗浴推拿场所;洗浴推拿场所
35,历下区,济南市,117.019091#36.649977,山东省美术馆(西1门),通行设施;建筑物门;建筑物门
37,历下区,济南市,117.112204#36.687605,广发科技,公司企业;公司企业;公司企业
38,历下区,济南市,117.129278#36.692594,足信鞋店,生活服务;生活服务场所;生活服务场所
39,历下区,济南市,117.04936#36.66204,约翰丹尼水果蛋糕店,餐饮服务;餐饮相关场所;餐饮相关
40,历下区,济南市,117.064434#36.661659,山东省计量科学研究院第二宿舍,商务住宅;住宅区;住宅小区
41,历下区,济南市,117.040988#36.664913,花都保险柜(历山路),购物服务;专卖店;专营店
42,历下区,济南市,117.129932#36.686986,爱之裳鲜花(颖秀路店),购物服务;专卖店;专营店
43,历下区,济南市,117.03815#36.654767,精益眼镜总汇(历山路),购物服务;专卖店;眼镜店
44,历下区,济南市,117.038583#36.645672,当当猴少儿艺术学校,科教文化服务;培训机构;培训机构
45,历下区,济南市,117.032205#36.665787,步步高棋牌室,体育休闲服务;娱乐场所;棋牌室
46,历下区,济南市,117.045397#36.662527,菲比寻常美肤中心,生活服务;美容美发店;美容美发店
47,历下区,济南市,117.045997#36.672683,历山70号主题餐厅(西北门),通行设施;临街院门;临街院正门
48,历下区,济南市,117.13627#36.673478,舜华东路与颖秀路交叉口,地名地址信息;交通地名;路口名
